Wavelength (nm),g
926.7999878,0.004419255
927,0.004454548
927.2000122,0.004483842
927.4000244,0.004175491
927.5999756,0.004269652
927.7999878,0.004219295
928,0.004185913
928.2000122,0.004049452
928.4000244,0.004114117
928.5999756,0.003921519
928.7999878,0.003974257
929,0.004005875
929.2000122,0.003825115
929.4000244,0.003823159
929.5999756,0.003831386
929.7999878,0.003683028
930,0.003616991
930.2000122,0.003782029
930.4000244,0.003525782
930.5999756,0.003466858
930.7999878,0.003748068
931,0.003419576
931.2000122,0.003324835
931.4000244,0.003481592
931.5999756,0.00326694
931.7999878,0.003302732
932,0.003281167
932.2000122,0.003192524
932.4000244,0.003291579
932.5999756,0.003121579
932.7999878,0.003227744
933,0.003102743
933.2000122,0.003015271
933.4000244,0.002911828
933.5999756,0.002932443
933.7999878,0.002923462
934,0.002817857
934.2000122,0.002819008
934.4000244,0.002781045
934.5999756,0.002704316
934.7999878,0.002662926
935,0.002697814
935.2000122,0.002701006
935.4000244,0.002498309
935.5999756,0.002744769
935.7999878,0.002550961
936,0.002302227
936.2000122,0.00248255
936.4000244,0.002409909
936.5999756,0.002353392
936.7999878,0.002232474
937,0.002104075
937.2000122,0.002227235
937.4000244,0.002078411
937.5999756,0.002121602
937.7999878,0.001998325
938,0.00200737
938.2000122,0.001993338
938.4000244,0.001964177
938.5999756,0.001985128
938.7999878,0.00203602
939,0.00190821
939.2000122,0.001816552
939.4000244,0.001901203
939.5999756,0.00175651
939.7999878,0.001761712
940,0.001620414
940.2000122,0.001670511
940.4000244,0.00162503
940.5999756,0.001625634
940.7999878,0.001492765
941,0.001516939
941.2000122,0.0015098
941.4000244,0.001315321
941.5999756,0.001296798
941.7999878,0.001348473
942,0.001340899
942.2000122,0.001285492
942.4000244,0.0013679
942.5999756,0.001297852
942.7999878,0.001176358
943,0.001169166
943.2000122,0.001327513
943.4000244,0.001238774
943.5999756,0.001155436
943.7999878,0.001061641
944,0.001094053
944.2000122,0.001196819
944.4000244,0.001155289
944.5999756,0.000923384
944.7999878,0.00127465
945,0.000956444
945.2000122,0.000894052
945.4000244,0.000855027
945.5999756,0.000769641
945.7999878,0.000988822
946,0.000974872
946.2000122,0.000929876
946.4000244,0.000773983
946.5999756,0.000855157
946.7999878,0.000880289
947,0.000729123
947.2000122,0.000848259
947.4000244,0.000792754
947.5999756,0.000893355
947.7999878,0.000766289
948,0.000742224
948.2000122,0.000794589
948.4000244,0.000851831
948.5999756,0.000670744
948.7999878,0.000767571
949,0.000892186
949.2000122,0.000509402
949.4000244,0.000797281
949.5999756,0.000640113
949.7999878,0.000816549
950,0.000782674
950.2000122,0.000619884
950.4000244,0.000654245
950.5999756,0.000734309
950.7999878,0.00063383
951,0.000564827
951.2000122,0.000811807
951.4000244,0.00060591
951.5999756,0.000816956
951.7999878,0.000777118
952,0.000710472
952.2000122,0.000689388
952.4000244,0.000752432
952.5999756,0.000625614
952.7999878,0.00061056
953,0.000704364
953.2000122,0.00090078
953.4000244,0.000554254
953.5999756,0.000721757
953.7999878,0.000591021
954,0.000988185
954.2000122,0.000765772
954.4000244,0.000742757
954.5999756,0.000980924
954.7999878,0.00076564
955,0.000849117
955.2000122,0.000868936
955.4000244,0.000917215
955.5999756,0.000978135
955.7999878,0.001068632
956,0.00078477
956.2000122,0.000867221
956.4000244,0.001122893
956.5999756,0.000944562
956.7999878,0.001094038
957,0.001136692
957.2000122,0.001128002
957.4000244,0.001176655
957.5999756,0.001222441
957.7999878,0.001133203
958,0.001260903
958.2000122,0.001324269
958.4000244,0.001233114
958.5999756,0.001307912
958.7999878,0.001353894
959,0.001363566
959.2000122,0.001320798
959.4000244,0.001546795
959.5999756,0.001376406
959.7999878,0.001621089
960,0.001554583
960.2000122,0.001708504
960.4000244,0.001737445
960.5999756,0.001606193
960.7999878,0.001941531
961,0.002031621
961.2000122,0.001946101
961.4000244,0.00206578
961.5999756,0.002053262
961.7999878,0.002079261
962,0.002190669
962.2000122,0.002397973
962.4000244,0.002468666
962.5999756,0.002516204
962.7999878,0.002415917
963,0.002532759
963.2000122,0.002737882
963.4000244,0.002737605
963.5999756,0.002653772
963.7999878,0.002916333
964,0.002820803
964.2000122,0.002888868
964.4000244,0.002989512
964.5999756,0.002907674
964.7999878,0.0031296
965,0.003273526
965.2000122,0.003273683
965.4000244,0.003308353
965.5999756,0.003249389
965.7999878,0.003214238
966,0.003514225
966.2000122,0.003595355
966.4000244,0.003576479
966.5999756,0.00355439
966.7999878,0.003837331
967,0.003982202
967.2000122,0.003865359
967.4000244,0.003931736
967.5999756,0.004186342
