Wavelength (nm),zs
945,0.009490296
945.2000122,0.009109913
945.4000244,0.008915933
945.5999756,0.0087021
945.7999878,0.008247977
946,0.008104585
946.2000122,0.007944588
946.4000244,0.007458229
946.5999756,0.007602808
946.7999878,0.00740723
947,0.006877803
947.2000122,0.006993912
947.4000244,0.006714293
947.5999756,0.0067264
947.7999878,0.006465355
948,0.006397458
948.2000122,0.006345373
948.4000244,0.006118986
948.5999756,0.006101444
948.7999878,0.006020329
949,0.005980633
949.2000122,0.005581714
949.4000244,0.00580298
949.5999756,0.005435267
949.7999878,0.005869011
950,0.005641828
950.2000122,0.005616974
950.4000244,0.005417132
950.5999756,0.005605008
950.7999878,0.005519714
951,0.005235014
951.2000122,0.00552721
951.4000244,0.005286561
951.5999756,0.005273174
951.7999878,0.005357335
952,0.005311143
952.2000122,0.005317959
952.4000244,0.005249711
952.5999756,0.00496491
952.7999878,0.005118623
953,0.005008541
953.2000122,0.005050594
953.4000244,0.005053342
953.5999756,0.005145285
953.7999878,0.004881655
954,0.005150833
954.2000122,0.004795126
954.4000244,0.00473065
954.5999756,0.004909328
954.7999878,0.004882195
955,0.004787768
955.2000122,0.004703188
955.4000244,0.004903673
955.5999756,0.004745374
955.7999878,0.004737523
956,0.004481239
956.2000122,0.004390315
956.4000244,0.004495969
956.5999756,0.004431799
956.7999878,0.004297641
957,0.004444961
957.2000122,0.004298775
957.4000244,0.0042594
957.5999756,0.004138802
957.7999878,0.004155881
958,0.003995323
958.2000122,0.004041797
958.4000244,0.00395507
958.5999756,0.004001465
958.7999878,0.003783598
959,0.003861062
959.2000122,0.003777851
959.4000244,0.003599236
959.5999756,0.003655084
959.7999878,0.003762102
960,0.003656788
960.2000122,0.003757714
960.4000244,0.003715402
960.5999756,0.003418772
960.7999878,0.00363131
961,0.003684886
961.2000122,0.003442702
961.4000244,0.003505304
961.5999756,0.003528602
961.7999878,0.003484455
962,0.00339922
962.2000122,0.003426961
962.4000244,0.003437563
962.5999756,0.003615442
962.7999878,0.003275828
963,0.003253905
963.2000122,0.003252423
963.4000244,0.003134398
963.5999756,0.003145759
963.7999878,0.00331389
964,0.002898038
964.2000122,0.00299222
964.4000244,0.003015761
964.5999756,0.002800933
964.7999878,0.002865322
965,0.002821249
965.2000122,0.002765917
965.4000244,0.002770506
965.5999756,0.002670657
965.7999878,0.002578356
966,0.002489801
966.2000122,0.002691214
966.4000244,0.002569378
966.5999756,0.002568773
966.7999878,0.002516685
967,0.002525125
967.2000122,0.002493276
967.4000244,0.002354564
967.5999756,0.002404802
967.7999878,0.002355627
968,0.002166692
968.2000122,0.002268618
968.4000244,0.002144204
968.5999756,0.002280457
968.7999878,0.002228419
969,0.002066724
969.2000122,0.002292411
969.4000244,0.002123495
969.5999756,0.002044526
969.7999878,0.002076248
970,0.002090879
970.2000122,0.002233161
970.4000244,0.001869766
970.5999756,0.002091871
970.7999878,0.002012716
971,0.002098861
971.2000122,0.00191921
971.4000244,0.001792741
971.5999756,0.001973898
971.7999878,0.001910099
972,0.00198125
972.2000122,0.00185576
972.4000244,0.001801511
972.5999756,0.001935944
972.7999878,0.001824367
973,0.001782117
973.2000122,0.001784356
973.4000244,0.001619814
973.5999756,0.001674644
973.7999878,0.001577238
974,0.001670276
974.2000122,0.001753998
974.4000244,0.001682101
974.5999756,0.001610154
974.7999878,0.00152507
975,0.001620425
